PeakID (cmd=annotatePeaks.pl merge_chipseq_chipnexus_q10/merge2chip_q10_given.txt dm3 -go merge_chipseq_chipnexus_q10/GO/merge2chip_q10_given/ -genomeOntology merge_chipseq_chipnexus_q10/GenomeOntology/merge2chip_q10_given/ -annStats merge_chipseq_chipnexus_q10/merge2chip_q10_given_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chrX-4941178-14	chrX	4940386	4941633	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NR_123794, intron 1 of 3)	intron (NR_123794, intron 1 of 3)	-1297	NM_167026	31429	Dm.1677	NM_080338		ovo	CG15467|CG6824|Dmel\CG6824|Fs(1)K1103|Fs(1)K1237|Fs(1)K155|OVO|Ovo|Ovo-D|Shv|Svb|Svb/Ovo|fs(1)K1237|fs(1)M1|fs(1)M38|ovo/shavenbaby|ovo/svb|ovoD|svb	ovo	protein-coding
Merged-chr2R-9033261-5	chr2R	9032945	9033587	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	TTS (NM_001274005)	TTS (NM_001274005)	6916	NM_001274006	36442	Dm.4488	NM_057738		Ack-like	CG33007|CG3969|CG43741|DPR2|DRODPR2|DmHD-11|Dmel\CG43741|Dmel_CG33007|Dmel_CG3969|HD-11|PR2|PR2/ACK|Rp2|dACK	Activated Cdc42 kinase-like	protein-coding
Merged-chr2R-9510309-2	chr2R	9510028	9510627	+	0.000000	wtElba3__elba3Elba3|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_079007)	promoter-TSS (NM_079007)	-222	NM_079007	36521		NM_079007		fas	CG17716|CT39263|Dmel\CG17716|l(2)05488|l(2)5488	faint sausage	protein-coding
Merged-chr2R-9458606-3	chr2R	9458245	9458864	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	TTS (NM_137045)	TTS (NM_137045)	1495	NM_137045	36511	Dm.605	NM_137045		CG42807	CG13335|CG6183|Dmel\CG42807|Dmel_CG13335	uncharacterized protein	protein-coding
Merged-chrX-5592231-14	chrX	5591221	5593309	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001169207)	promoter-TSS (NM_001169207)	-325	NM_132019	31490	Dm.13429	NM_132019		CG4096	CT13580|Dmel\CG4096	CG4096	protein-coding
Merged-chr2L-8399292-2	chr2L	8398975	8399610	+	0.000000	wtElba3__elba3Elba3	exon (NM_135382, exon 1 of 2)	exon (NM_135382, exon 1 of 2)	271	NM_135382	34165		NM_135382		CG13386	Dmel\CG13386	uncharacterized protein	protein-coding
Merged-chr3R-25133507-1	chr3R	25133340	25133675	+	0.000000	wtInsv__insvInsv	Intergenic	Intergenic	-10605	NM_143433	43467	Dm.27447	NM_143433		CG14506	Dmel\CG14506|cg14506	uncharacterized protein	protein-coding
Merged-chr3R-2532555-4	chr3R	2531986	2533305	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	TTS (NM_057321)	TTS (NM_057321)	2839	NM_141426	40825	Dm.20150	NM_141426		Ccp84Aa	BG:DS00004.1|CG2360|Ccp|DmelCcp84Aa|Dmel\CG2360|cc8	Ccp84Aa	protein-coding
Merged-chrX-10442004-2	chrX	10441695	10442353	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_001272489, intron 3 of 10)	intron (NM_001272489, intron 3 of 10)	-1237	NM_001272485	31987	Dm.18586	NM_176723		spri	CG12638|CG15297|CG15298|CG15299|CG15300|CG15301|CG32674|CG32680|CG33175|CG34414|Dmel\CG34414|Dmel_CG32680|Dmel_CG33175|Rin1|Spri|anon-WO03040301.275	sprint	protein-coding
Merged-chr3R-18881430-2	chr3R	18881280	18881647	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	non-coding (NR_133437, exon 1 of 1)	non-coding (NR_133437, exon 1 of 1)	-1659	NM_206544	2768677	Dm.3257	NM_206544		p53	CG10873|CG31325|CG33336|D-p53|DMP53|Dm-P53|DmP53|Dmel\CG33336|Dmp53|Dp53|dmp53|dp53|prac	p53	protein-coding
Merged-chr2L-2009822-11	chr2L	2009489	2010293	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001103583)	promoter-TSS (NM_001103583)	32	NM_001272966	33377	Dm.13322	NM_134796		CG4238	Dmel\CG4238	CG4238	protein-coding
Merged-chr3R-12007858-1	chr3R	12007795	12007921	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_142270, intron 1 of 2)	intron (NM_142270, intron 1 of 2)	1116	NM_142270	41964		NM_142270		CG8927	Dmel\CG8927	CG8927	protein-coding
Merged-chr3L-1348390-1	chr3L	1348229	1348551	+	0.000000	wtElba3__elba3Elba3	intron (NM_001274324, intron 3 of 7)	intron (NM_001274324, intron 3 of 7)	1152	NM_167875	38160	Dm.1991	NM_057339		Ptp61F	BEST:LP01280|CG9178|CG9181|CPtp62A|DCPTP62A|DPTP61F|Dmel\CG9181|PTP1B|PTP61F|Ptp-61F|R-PTP 61F|anon-WO0118547.297|anon-WO0140519.98|dPTP61F|dptp61F|ptp61F	Protein tyrosine phosphatase 61F	protein-coding
Merged-chr3L-968415-1	chr3L	968309	968521	+	0.000000	wtInsv__insvInsv	intron (NM_167845, intron 2 of 8)	intron (NM_167845, intron 2 of 8)	5659	NR_133148	26067140		NR_133148		CR45810	Dmel\CR45810	ncRNA	ncRNA
Merged-chr3L-8706926-6	chr3L	8706500	8707296	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	6427	NM_176307	47283	Dm.7769	NM_176307		SrpRbeta	BcDNA:GM04779|CG33162|CG5950|Dm SRbeta|Dmel\CG33162|Q9VSN9|SRbeta|l(3)rK561|l(3)rL537|srpRbeta	Signal recognition particle receptor beta	protein-coding
Merged-chr2R-8056385-4	chr2R	8056009	8056782	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_165865)	promoter-TSS (NM_165865)	159	NM_165866	36306	Dm.19912	NM_165866		SmD3	CG8427|Dmel\CG8427|SYM10|Sm D3|dD3|guf|guf2|l(2)131/7|l(2)154/1|l(2)90/37|smD3|smd3|snRNP Sm D3	Small ribonucleoprotein particle protein SmD3	protein-coding
Merged-chr3R-2948987-22	chr3R	2947795	2950880	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_141437)	promoter-TSS (NM_141437)	123	NM_001275400	40850	Dm.33420	NM_079526		Alh	AF10|CG1070|Dalf|Dmel\CG1070|anon-WO0118547.226|dAF10|l(3)84Be|l(3)g2|l(3)g5|l(3)j13A6|l(3)j8C8|l(3)j8c8|l(3)r13|l(3j8C8|stk	Alhambra	protein-coding
Merged-chr3L-8991317-13	chr3L	8990060	8992141	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001144452)	promoter-TSS (NM_001144452)	-11	NM_168309	39034	Dm.2553	NM_079263		smg	CG5263|D69|Dmel\CG5263|SMG|SmG|Smaug|Smg|anon-D69|anonD69	smaug	protein-coding
Merged-chr2L-19774508-6	chr2L	19774236	19774847	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	TTS (NM_136158)	TTS (NM_136158)	-5474	NM_058002	35266	Dm.25407	NM_058002		bsh	BSH|Bsh|CG10604|Dmel\CG10604|E86|Hox11-310|lambdaE86	brain-specific homeobox	protein-coding
Merged-chr3R-3371780-3	chr3R	3371715	3371880	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NR_133357)	promoter-TSS (NR_133357)	-825	NR_133357	26067445		NR_133357		CR46129	Dmel\CR46129	ncRNA	ncRNA
Merged-chrX-11244024-5	chrX	11243781	11244234	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_132483)	promoter-TSS (NM_132483)	-24	NM_132482	32076	Dm.5338	NM_132482		CG11752	BcDNA:RH44935|Dmel\CG11752|anon-EST:Posey214	uncharacterized protein	protein-coding
Merged-chrX-7622986-1	chrX	7622757	7623215	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_132174)	promoter-TSS (NM_132174)	198	NM_132175	31682	Dm.95	NM_132175		CG12155	Dmel\CG12155	uncharacterized protein	protein-coding
Merged-chr2L-4998160-4	chr2L	4997961	4998324	+	0.000000	wtElba3__elba3Elba3|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_175973)	promoter-TSS (NM_175973)	-761	NM_175973	33721	Dm.1559	NM_175969		Rtnl1	142893_at|CG18623|CG33113|CG8895|Dmel\CG33113|G9|Retl1|Rtn1|Rtnl-1|rtnl1	Reticulon-like1	protein-coding
Merged-chr3R-25045778-2	chr3R	25045515	25046166	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_001202379)	promoter-TSS (NM_001202379)	-54	NM_001202379	44791		NM_143743		Ef1gamma	CG11901|Dmel\CG11901|EF1 gamma|EF1gamma|Ef1Bggr|Ef1y|eEF1gamma	Ef1gamma	protein-coding
Merged-chr3R-10153658-5	chr3R	10153123	10154028	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_057392)	promoter-TSS (NM_057392)	-198	NM_057392	41746	Dm.4725	NM_057392		spn-B	CG3325|Dmel\CG3325|Rad51|Rad51-like|Spn-B|SpnB|XRCC3|rad51-like|spnB	spindle B	protein-coding
Merged-chr3R-19364750-3	chr3R	19364553	19364902	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_142897)	promoter-TSS (NM_142897)	-97	NM_142897	42776		NM_142897		CG10168	Dmel\CG10168	uncharacterized protein	protein-coding
Merged-chrX-10717852-4	chrX	10717293	10718837	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NR_123861)	promoter-TSS (NR_123861)	-237	NR_123861	19835735		NR_123861		CR45624	Dmel\CR45624	ncRNA	ncRNA
Merged-chr3L-17469377-8	chr3L	17469043	17469779	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104163)	promoter-TSS (NM_001104163)	89	NM_001104163	5740115	Dm.36042	NM_001104163		CG34250	Dmel\CG34250	uncharacterized protein	protein-coding
Merged-chr3R-14041380-3	chr3R	14041028	14041872	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	promoter-TSS (NM_142433)	promoter-TSS (NM_142433)	-414	NM_142433	42179	Dm.31259	NM_142433		CG14314	Dmel\CG14314	uncharacterized protein	protein-coding
Merged-chr3L-714157-1	chr3L	713996	714318	+	0.000000	wtInsv__insvInsv	TTS (NR_124746)	TTS (NR_124746)	373	NR_124746	19835319		NR_124746		CR45411	Dmel\CR45411	ncRNA	ncRNA
Merged-chr2L-13905798-1	chr2L	13905460	13906136	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_001298986)	promoter-TSS (NM_001298986)	153	NM_057698	34805	Dm.2157	NM_057698		Ance	ACE|ANCE|AnCE|BG:DS08220.3|CG8827|Dmel\CG8827|RACE|Race|ance|anon-EST:fe3D10|br31|l(2)34Eb|l(2)br31|l34Eb|race	Angiotensin converting enzyme	protein-coding
Merged-chrX-16487340-1	chrX	16487220	16487461	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_079945)	promoter-TSS (NM_079945)	132	NM_078650	32627		NM_078650		SMC3	CAP|CG9802|Cap|DmSMC3|DmSMC3/Cap|Dmel\CG9802|Smc3|cap|dCAP|dSMC3	Structural maintenance of chromosomes 3	protein-coding
Merged-chr3R-17844849-6	chr3R	17844320	17845133	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	TTS (NM_079720)	TTS (NM_079720)	180	NM_142743	42586	Dm.11391	NM_142743		CG6439	Dmel\CG6439|FBgn0038922|Idh	CG6439	protein-coding
Merged-chr3L-19634730-4	chr3L	19634244	19635101	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_001144507, intron 2 of 3)	intron (NM_001144507, intron 2 of 3)	1244	NM_001144507	40144	Dm.6362	NM_140881		CG8786	BcDNA:GM01527|DRNF146|Dmel\CG8786|RNF146	CG8786	protein-coding
Merged-chr2L-21108797-1	chr2L	21108559	21109035	+	0.000000	wtElba3__elba3Elba3	intron (NM_001259187, intron 1 of 19)	Transib-N1_DM|DNA|Transib	1016	NM_136244	35376	Dm.21362	NM_136244		Nhe2	CG9255|CG9256|DmNHE2|Dmel\CG9256|Dnhe2|NHE2|nhe2	Na[+]/H[+] hydrogen exchanger 2	protein-coding
Merged-chr3R-27573275-1	chr3R	27573004	27573547	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_143631)	promoter-TSS (NM_143631)	5	NM_143630	43740	Dm.29814	NM_143630		nero	CG2245|DOHH|Dmel\CG2245|l(3)s1921	nero	protein-coding
Merged-chr3R-864733-3	chr3R	864489	865007	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	6922	NR_048323	12798229		NR_048323		CR43635	Dmel\CR43635|lincRNA.676	ncRNA	ncRNA
Merged-chr3L-1947698-3	chr3L	1947326	1948070	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001169855)	promoter-TSS (NM_001169855)	-57	NM_001274371	38258	Dm.4377	NM_139423		Cnb	CG5690|Dmel\CG5690|anon-62BCa|cDNA C|cnb	Centrobin	protein-coding
Merged-chr2R-8523437-1	chr2R	8523100	8523774	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_078995)	promoter-TSS (NM_078995)	209	NM_001032242	3771915	Dm.23242	NM_001032242		CG33672	CG16804|CG16804a|CG33009|CG33009-ORFA|CG33009ORFA|CG8810|Dmel\CG33672|Dromel_CG33672_FBtr0091651_uORF	uncharacterized protein	protein-coding
Merged-chr3R-22278281-1	chr3R	22278061	22278502	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001276057)	promoter-TSS (NM_001276057)	25	NM_143221	43192	Dm.3550	NM_143221		CG5447	Dmel\CG5447	CG5447	protein-coding
Merged-chrX-7996555-1	chrX	7996407	7996704	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_132211)	promoter-TSS (NM_132211)	-427	NM_206648	31729	Dm.11529	NM_132211		CG2258	Dmel\CG2258	CG2258	protein-coding
Merged-chr3L-20241437-1	chr3L	20241323	20241552	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_080490)	promoter-TSS (NM_080490)	257	NM_176366	40224		NM_080490		rdgC	CG13814|CG44746|CG6571|Dmel\CG44746|Dmel_CG13814|Dmel_CG6571|DmrdgC-77B|RDGC|RDGC/PP5|RdgC|RdgC 77B	retinal degeneration C	protein-coding
Merged-chrX-3356392-5	chrX	3356246	3356536	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	TTS (NM_130703)	TTS (NM_130703)	1686	NM_001272282	31315	Dm.7597	NM_130703		CG16781	Dmel\CG16781	uncharacterized protein	protein-coding
Merged-chr3L-11782619-10	chr3L	11781799	11783290	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	TTS (NM_140250)	TTS (NM_140250)	569	NM_079304	39329	Dm.7619	NM_079304		Pi3K68D	11621|BcDNA:LD15217|CG11621|Cpk|Dmel\CG11621|PI(3)K|PI3K|PI3K 68D|PI3K 68_D|PI3K-68D|PI3K-68D/E|PI3K68D|PI3K_68D|PI[[3]]K|Pi3K|cpk|dPI3K|dPI3k|dPIK|pi3k68d	Phosphotidylinositol 3 kinase 68D	protein-coding
Merged-chr2L-9568407-1	chr2L	9568305	9568510	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_164859)	promoter-TSS (NM_164859)	378	NR_073748	14462732		NR_073748		CR44149	Dmel\CR44149|lincRNA.91	ncRNA	ncRNA
Merged-chr3L-22558059-4	chr3L	22557843	22558271	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	14731	NM_079492	40475	Dm.2498	NM_079492		Trxr-2	CG11401|Dm-TrxR|DmTrx|DmTrxR-2|Dmel\CG11401|TRR|TrxR|Trxr2|trxr-2	thioredoxin reductase 2	protein-coding
Merged-chr3R-11620107-4	chr3R	11619664	11620403	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed	TTS (NM_142234)	TTS (NM_142234)	529	NM_001170151	41911	Dm.10603	NM_142235		nsl1	CG4699|Dmel\CG4699|E(nos)|NSL1|Nsl1|l(3)06536|l(3)S009413|wah	non-specific lethal 1	protein-coding
Merged-chr3L-8500155-4	chr3L	8499457	8500495	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	TTS (NM_139973)	TTS (NM_139973)	270	NM_139971	38966	Dm.15478	NM_139971		CG43163	CG6902|CG6915|Dmel\CG43163|Dmel_CG6902|Dmel_CG6915	uncharacterized protein	protein-coding
Merged-chr3L-4780133-1	chr3L	4780069	4780197	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_168102, intron 7 of 10)	intron (NM_168102, intron 7 of 10)	13584	NR_133171	26067149		NR_133171		CR45821	Dmel\CR45821	ncRNA	ncRNA
Merged-chr4-855678-1	chr4	855603	855753	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001014695)	promoter-TSS (NM_001014695)	-659	NM_001014695	43844	Dm.18582	NM_166792		Sox102F	CG11153|Dmel\CG11153|SOX102D|SOXD|Sox D|Sox102D|SoxD	Sox102F	protein-coding
Merged-chr3R-7466442-2	chr3R	7466181	7466704	+	0.000000	wtInsv__insvInsv	intron (NM_169414, intron 1 of 8)	intron (NM_169414, intron 1 of 8)	2485	NM_001275547	41398	Dm.22408	NM_141840		Csk	CG17309|CG32852|CG42317|CSK|DCsk|Dmel\CG42317|Dmel_CG17309|Dmel_CG32852|csk|d-Csk|dCSK|dCsk|dcsk|flik|l(3)S017909|l(3)j1D8	C-terminal Src kinase	protein-coding
Merged-chr3R-25660626-1	chr3R	25660451	25660801	+	0.000000	wtElba3__elba3Elba3	TTS (NM_001170299)	TTS (NM_001170299)	197	NM_001144652	326115	Dm.20800	NM_170432		Atg16	CG15513|CG18040|CG18683|CG31033|Dmel\CG31033|atg16	Autophagy-related 16	protein-coding
Merged-chr3R-17331808-2	chr3R	17331631	17331958	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	intron (NM_057525, intron 2 of 3)	intron (NM_057525, intron 2 of 3)	6086	NM_057525	42544	Dm.2657	NM_057525		C15	311|93Bal|CG7937|Cll|Dmel\CG7937|Ect5|Hox11-311|c15|cll	C15	protein-coding
Merged-chr3L-15631494-1	chr3L	15631322	15631667	+	0.000000	wtInsv__insvInsv	intron (NM_140534, intron 1 of 1)	intron (NM_140534, intron 1 of 1)	-3904	NM_001300143	39696	Dm.22276	NM_140534		comm3	CG13446|CG13447|CG13448|CG33209|CG42334|Dmel\CG42334|Dmel_CG13446|Dmel_CG33209	comm3	protein-coding
Merged-chr2R-6469268-1	chr2R	6469159	6469378	+	0.000000	wtInsv__insvInsv	intron (NM_165792, intron 2 of 8)	intron (NM_165792, intron 2 of 8)	-1923	NM_165791	36118	Dm.7369	NM_078962		psq	BTB-V|BtbV|CG2368|Dmel\CG2368|PSQ|Pipsqueak|Piq|Psq|eyeful|pip|psk|psq-1|rum|zep	pipsqueak	protein-coding
Merged-chr3R-2233160-6	chr3R	2232388	2233859	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1	5' UTR (NM_001275387, exon 1 of 7)	5' UTR (NM_001275387, exon 1 of 7)	544	NM_169142	40793	Dm.20383	NM_141398		gpp	0732/14|BcDNA:SD05230|CG10272|CG33324|CG42803|DOT1L|Dmel\CG42803|Dmel_CG10272|Dmel_CG33324|Gpp|anon-WO0118547.319|dDOT1L|dDot1|grp|l(3)03342|l(3)S073214b|l(3)sA3484	grappa	protein-coding
Merged-chrX-13809411-1	chrX	13809392	13809431	+	0.000000	Elba2_ChIPnexus_narrowPeak_q5.bed	intron (NM_001258733, intron 1 of 7)	intron (NM_001258733, intron 1 of 7)	17965	NM_001201660	32353	Dm.17448	NM_132704		mamo	CG11071|CG11072|CG11075|CG11082|CG32606|CG32611|CG34346|CG44132|CG45477|CR44656|Dmel\CG45477|Dmel_CG11071|Dmel_CG11072|Dmel_CG32606|Dmel_CG32611|Dmel_CG34346|Dmel_CG44132|lincRNA.990	maternal gene required for meiosis	protein-coding
Merged-chrX-12998357-12	chrX	12996506	12999588	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	intron (NM_001298255, intron 1 of 5)	intron (NM_001298255, intron 1 of 5)	4180	NM_132626	32260	Dm.26622	NM_132626		Fer3HCH	CG4349|Dmel\CG4349|Fer3|Fer3 HCH	Ferritin 3 heavy chain homologue	protein-coding
Merged-chr3R-18953728-1	chr3R	18953606	18953851	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_170051)	promoter-TSS (NM_170051)	-25	NM_170051	326142	Dm.21126	NM_170051		CG31457	CG4639|Dmel\CG31457	uncharacterized protein	protein-coding
Merged-chr3L-14454076-13	chr3L	14453718	14454574	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001259826, intron 4 of 8)	intron (NM_001259826, intron 4 of 8)	-12473	NM_140447	39583	Dm.13627	NM_140447		bbg	BBG|C96|CG42230|CG9587|CG9598|Dmel\CG42230|Dmel_CG9587|Dmel_CG9598	big bang	protein-coding
Merged-chrX-19591653-15	chrX	19590920	19592789	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001258833, intron 1 of 2)	intron (NM_001258833, intron 1 of 2)	730	NM_001258833	32981	Dm.2867	NM_078690		Cdc42	CDC42|CG12530|Cdc42Dm|D-CDC42|D-Cdc42|D-cdc42|DCDC42|DCdc42|Dcdc42|Dm Cdc42|DmCDC42|Dmcdc42|Dmel\CG12530|P40793|cdc42	Cdc42	protein-coding
Merged-chrU-85876-1	chrU	85832	85920	+	0.000000	Elba3_ChIPnexus_narrowPeak_q10.bed	intron (NM_001347775, intron 4 of 9)	intron (NM_001347775, intron 4 of 9)	76538	NM_001347775	26067049	Dm.30444	NM_001347775		CG45781	40378|CG40378|CG42644|CG43676|Dmel\CG45781|Dmel_CG40378|Dmel_CG42644|Dmel_CG43676	uncharacterized protein	protein-coding
Merged-chr2L-20091235-2	chr2L	20091118	20091354	+	0.000000	wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_136179)	promoter-TSS (NM_136179)	-14	NM_136178	35295	Dm.30856	NM_136178		CG10747	38B.13|Dmel\CG10747	uncharacterized protein	protein-coding
Merged-chr3R-20895355-2	chr3R	20895106	20895605	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_079770)	promoter-TSS (NM_079770)	4	NM_079770	43005	Dm.1327	NM_079770		OstStt3	BcDNA.GM01838|BcDNA:GM01838|CG7748|Dmel\CG7748|STT|anon-WO03054008.7|l(3)j2D9	Oligosaccharyl transferase 3	protein-coding
Merged-chr3L-12526820-2	chr3L	12526398	12527258	+	0.000000	wtElba3__elba3Elba3|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001144468)	promoter-TSS (NM_001144468)	-4	NM_079320	39435	Dm.944	NM_079320		Tsf2	CG10620|Dmel\CG10620|MTf|tsf2	Transferrin 2	protein-coding
